name,type,cueStyle,confidence,reason
Deep Belly Breath,breath,repeat,high,Breath cycle repeated for the full duration.
Box Breathing,breath,repeat,high,Repeated box-breathing cycle for the full duration.
4-7-8 Breathing,breath,repeat,high,Repeated 4-7-8 cycles (3-4 times).
Alternate Nostril Breathing,breath,repeat,high,Repeated alternating-nostril breath cycles.
Pursed-Lip Breathing,breath,repeat,high,Repeated pursed-lip breath cycles.
Diaphragmatic Breath with Counting,breath,repeat,high,Repeated breath cycles with counting.
Coherent Breathing,breath,repeat,high,Continuous repeated breath cycles at ~6/min.
Humming Bee Breath,breath,repeat,high,Repeated humming exhale cycles.
Lion's Breath,breath,repeat,high,Explicitly repeated 5-6 times.
Eye Palming,breath,hold,high,Static eye-palming position held for the full duration.
Chin Tuck (Forward Head Reset),stretch,repeat,high,Short hold repeated 10 times.
Seated Neck Rolls,stretch,repeat,high,"Rolling/circular head motion, reversing direction."
Neck Extension Stretch (Gentle Look-Up),stretch,hold,high,"Head tilted back and held 10-15s, a few reps."
Neck Flexion Stretch (Chin-to-Chest),stretch,hold,high,Chin-to-chest position held 15-20s.
Seated Neck Rotation,stretch,hold,high,Head turned and held each side 10-15s.
Left Levator Scapulae Stretch,stretch,hold,high,Neck stretch held 20-30s.
Right Levator Scapulae Stretch,stretch,hold,high,Neck stretch held 20-30s.
Left Upper Trapezius Stretch,stretch,hold,high,Trapezius stretch held 20-30s.
Right Upper Trapezius Stretch,stretch,hold,high,Trapezius stretch held 20-30s.
Shoulder Roll,stretch,repeat,high,Explicit 5 backward + 5 forward rolls.
Left Cross-Body Rear Delt Stretch,stretch,hold,high,Cross-body stretch held 20s.
Right Cross-Body Rear Delt Stretch,stretch,hold,high,Cross-body stretch held 20s.
Doorway Shoulder & Chest Opener,stretch,hold,high,Doorway lean held 20-30s.
Left Thread the Needle,stretch,hold,high,Thread-the-needle held 20-30s.
Right Thread the Needle,stretch,hold,high,Thread-the-needle held 20-30s.
Doorway Pec Stretch (Mid Chest),stretch,hold,high,Pec stretch held 20-30s.
